bedrooms,bathrooms,sqft,lot_size,year_built,has_pool,garage_spaces,market,neighborhood,price
3,2.5,1710,8450,2003,False,2,"Ames, IA",CollgCr,208500.0
3,2.0,1262,9600,1976,False,2,"Ames, IA",Veenker,181500.0
3,2.5,1786,11250,2001,False,2,"Ames, IA",CollgCr,223500.0
3,1.0,1717,9550,1915,False,3,"Ames, IA",Crawfor,140000.0
4,2.5,2198,14260,2000,False,3,"Ames, IA",NoRidge,250000.0
1,1.5,1362,14115,1993,False,2,"Ames, IA",Mitchel,143000.0
3,2.0,1694,10084,2004,False,2,"Ames, IA",Somerst,307000.0
3,2.5,2090,10382,1973,False,2,"Ames, IA",NWAmes,200000.0
2,2.0,1774,6120,1931,False,2,"Ames, IA",OldTown,129900.0
2,1.0,1077,7420,1939,False,1,"Ames, IA",BrkSide,118000.0
3,1.0,1040,11200,1965,False,1,"Ames, IA",Sawyer,129500.0
4,3.0,2324,11924,2005,False,3,"Ames, IA",NridgHt,345000.0
2,1.0,912,12968,1962,False,1,"Ames, IA",Sawyer,144000.0
3,2.0,1494,10652,2006,False,3,"Ames, IA",CollgCr,279500.0
2,1.5,1253,10920,1960,False,1,"Ames, IA",NAmes,157000.0
2,1.0,854,6120,1929,False,2,"Ames, IA",BrkSide,132000.0
2,1.0,1004,11241,1970,False,2,"Ames, IA",NAmes,149000.0
2,2.0,1296,10791,1967,False,2,"Ames, IA",Sawyer,90000.0
3,1.5,1114,13695,2004,False,2,"Ames, IA",SawyerW,159000.0
3,1.0,1339,7560,1958,False,1,"Ames, IA",NAmes,139000.0
4,3.5,2376,14215,2005,False,3,"Ames, IA",NridgHt,325300.0
3,1.0,1108,7449,1930,False,1,"Ames, IA",IDOTRR,139400.0
3,2.0,1795,9742,2002,False,2,"Ames, IA",CollgCr,230000.0
3,1.0,1060,4224,1976,False,2,"Ames, IA",MeadowV,129900.0
3,1.0,1060,8246,1968,False,1,"Ames, IA",Sawyer,154000.0
3,2.0,1600,14230,2007,False,3,"Ames, IA",NridgHt,256300.0
3,1.0,900,7200,1951,False,2,"Ames, IA",NAmes,134800.0
3,2.0,1704,11478,2007,False,3,"Ames, IA",NridgHt,306000.0
2,1.0,1600,16321,1957,False,1,"Ames, IA",NAmes,207500.0
1,1.0,520,6324,1927,False,1,"Ames, IA",BrkSide,68500.0
3,1.0,1317,8500,1920,False,1,"Ames, IA",IDOTRR,40000.0
3,1.5,1228,8544,1966,False,1,"Ames, IA",Sawyer,149350.0
3,2.0,1234,11049,2007,False,2,"Ames, IA",CollgCr,179900.0
4,1.5,1700,10552,1959,False,2,"Ames, IA",NAmes,165500.0
2,2.0,1561,7313,2005,False,2,"Ames, IA",NridgHt,277500.0
4,3.5,2452,13418,2004,False,3,"Ames, IA",NridgHt,309000.0
3,1.5,1097,10859,1994,False,2,"Ames, IA",CollgCr,145000.0
3,1.0,1297,8532,1954,False,2,"Ames, IA",NAmes,153000.0
3,1.0,1057,7922,1953,False,1,"Ames, IA",NAmes,109000.0
2,2.0,1152,6040,1955,False,0,"Ames, IA",Edwards,82000.0
3,2.0,1324,8658,1965,False,2,"Ames, IA",NAmes,160000.0
2,1.5,1328,16905,1959,False,1,"Ames, IA",Timber,170000.0
2,1.0,884,9180,1983,False,2,"Ames, IA",SawyerW,144000.0
