country_code,country,period,index,yoy_pct
AU,Australia,2006-Q2,74.5402,6.6482
AU,Australia,2006-Q3,75.8955,8.7379
AU,Australia,2006-Q4,77.2507,8.5714
AU,Australia,2007-Q1,77.9284,8.3445
AU,Australia,2007-Q2,81.4134,9.2208
AU,Australia,2007-Q3,84.3175,11.0969
AU,Australia,2007-Q4,87.5121,13.2832
AU,Australia,2008-Q1,87.8993,12.795
AU,Australia,2008-Q2,87.1249,7.0155
AU,Australia,2008-Q3,85.1888,1.0333
AU,Australia,2008-Q4,84.0271,-3.9823
AU,Australia,2009-Q1,83.8335,-4.6256
AU,Australia,2009-Q2,87.3185,0.2222
AU,Australia,2009-Q3,90.9971,6.8182
AU,Australia,2009-Q4,96.031,14.2857
AU,Australia,2010-Q1,99.0319,18.1293
AU,Australia,2010-Q2,100.9681,15.6319
AU,Australia,2010-Q3,99.7096,9.5745
AU,Australia,2010-Q4,100.2904,4.4355
AU,Australia,2011-Q1,99.4192,0.391
AU,Australia,2011-Q2,98.7415,-2.2052
AU,Australia,2011-Q3,96.999,-2.7184
AU,Australia,2011-Q4,96.2246,-4.0541
AU,Australia,2012-Q1,96.8054,-2.629
AU,Australia,2012-Q2,97.1926,-1.5686
AU,Australia,2012-Q3,96.999,0.0
AU,Australia,2012-Q4,99.1288,3.0181
AU,Australia,2013-Q1,99.8064,3.1
AU,Australia,2013-Q2,102.3233,5.2789
AU,Australia,2013-Q3,104.8403,8.0838
AU,Australia,2013-Q4,109.0029,9.9609
AU,Australia,2014-Q1,110.5518,10.7662
AU,Australia,2014-Q2,112.6815,10.123
AU,Australia,2014-Q3,114.0368,8.7719
AU,Australia,2014-Q4,116.3601,6.7496
AU,Australia,2015-Q1,118.1994,6.9177
AU,Australia,2015-Q2,123.7173,9.7938
AU,Australia,2015-Q3,126.2343,10.6961
AU,Australia,2015-Q4,126.4279,8.6522
AU,Australia,2016-Q1,126.2343,6.7977
AU,Australia,2016-Q2,128.7512,4.0689
AU,Australia,2016-Q3,130.6873,3.5276
AU,Australia,2016-Q4,136.1084,7.657
AU,Australia,2017-Q1,139.1094,10.1994
AU,Australia,2017-Q2,141.8199,10.1504
AU,Australia,2017-Q3,141.5295,8.2963
AU,Australia,2017-Q4,142.8848,4.9787
AU,Australia,2018-Q1,141.9167,2.0181
AU,Australia,2018-Q2,140.9487,-0.6143
AU,Australia,2018-Q3,138.819,-1.9152
AU,Australia,2018-Q4,135.5276,-5.1491
AU,Australia,2019-Q1,131.4618,-7.367
AU,Australia,2019-Q2,130.4937,-7.4176
AU,Australia,2019-Q3,133.6883,-3.696
AU,Australia,2019-Q4,138.9158,2.5
AU,Australia,2020-Q1,141.1423,7.3638
AU,Australia,2020-Q2,138.6254,6.2315
AU,Australia,2020-Q3,139.6902,4.4895
AU,Australia,2020-Q4,143.9497,3.6237
AU,Australia,2021-Q1,151.6941,7.476
AU,Australia,2021-Q2,161.8587,16.7598
AU,Australia,2021-Q3,169.9903,21.6909
AU,Australia,2021-Q4,178.0252,23.6718
AU,Australia,2022-Q1,182.9175,20.5831
AU,Australia,2022-Q2,183.4788,13.3574
AU,Australia,2022-Q3,177.1329,4.2018
AU,Australia,2022-Q4,172.5522,-3.0743
AU,Australia,2023-Q1,171.7021,-6.1314
AU,Australia,2023-Q2,176.5027,-3.8022
AU,Australia,2023-Q3,181.3528,2.3823
AU,Australia,2023-Q4,185.0522,7.2442
AU,Australia,2024-Q1,188.104,9.5525
AU,Australia,2024-Q2,192.1255,8.8514
AU,Australia,2024-Q3,194.8374,7.4356
AU,Australia,2024-Q4,195.7362,5.7735
AU,Australia,2025-Q1,196.5064,4.4669
AU,Australia,2025-Q2,199.929,4.0617
AU,Australia,2025-Q3,204.7214,5.0729
AU,Australia,2025-Q4,211.5761,8.0925
AU,Australia,2026-Q1,216.1282,9.9853
BR,Brazil,2006-Q2,43.613,10.5675
BR,Brazil,2006-Q3,45.1233,12.0605
BR,Brazil,2006-Q4,46.8334,13.6562
BR,Brazil,2007-Q1,48.7463,15.2092
BR,Brazil,2007-Q2,50.8818,16.6666
BR,Brazil,2007-Q3,53.2686,18.0512
BR,Brazil,2007-Q4,55.9323,19.4282
BR,Brazil,2008-Q1,58.8844,20.7977
BR,Brazil,2008-Q2,62.0934,22.0346
BR,Brazil,2008-Q3,65.528,23.0143
BR,Brazil,2008-Q4,69.2024,23.7253
BR,Brazil,2009-Q1,73.1794,24.2764
BR,Brazil,2009-Q2,77.5104,24.8287
BR,Brazil,2009-Q3,82.2041,25.4488
BR,Brazil,2009-Q4,87.1917,25.9952
BR,Brazil,2010-Q1,92.3279,26.1665
BR,Brazil,2010-Q2,97.4869,25.7727
BR,Brazil,2010-Q3,102.5916,24.8011
BR,Brazil,2010-Q4,107.5936,23.3989
BR,Brazil,2011-Q1,112.4642,21.8096
BR,Brazil,2011-Q2,117.1293,20.1488
BR,Brazil,2011-Q3,121.389,18.3226
BR,Brazil,2011-Q4,125.1062,16.2766
BR,Brazil,2012-Q1,128.398,14.1679
BR,Brazil,2012-Q2,131.5156,12.2824
BR,Brazil,2012-Q3,134.6076,10.8895
BR,Brazil,2012-Q4,137.7139,10.0776
BR,Brazil,2013-Q1,140.823,9.6769
BR,Brazil,2013-Q2,143.8892,9.4085
BR,Brazil,2013-Q3,146.8527,9.0969
BR,Brazil,2013-Q4,149.7106,8.7113
BR,Brazil,2014-Q1,151.9774,7.9209
BR,Brazil,2014-Q2,154.1501,7.1311
BR,Brazil,2014-Q3,156.2028,6.367
BR,Brazil,2014-Q4,158.0386,5.5627
BR,Brazil,2015-Q1,159.5974,5.0139
BR,Brazil,2015-Q2,160.8736,4.3617
BR,Brazil,2015-Q3,161.95,3.6793
BR,Brazil,2015-Q4,162.8807,3.0639
BR,Brazil,2016-Q1,163.6059,2.5116
BR,Brazil,2016-Q2,164.0912,2.0001
BR,Brazil,2016-Q3,164.3367,1.4737
BR,Brazil,2016-Q4,164.3196,0.8834
BR,Brazil,2017-Q1,163.9313,0.1989
BR,Brazil,2017-Q2,163.052,-0.6333
BR,Brazil,2017-Q3,161.6616,-1.6278
BR,Brazil,2017-Q4,159.8915,-2.6948
BR,Brazil,2018-Q1,157.9787,-3.6312
BR,Brazil,2018-Q2,156.1657,-4.2234
BR,Brazil,2018-Q3,154.5469,-4.401
BR,Brazil,2018-Q4,153.1194,-4.2354
BR,Brazil,2019-Q1,151.8404,-3.8855
BR,Brazil,2019-Q2,150.667,-3.5211
BR,Brazil,2019-Q3,149.6106,-3.194
BR,Brazil,2019-Q4,148.7256,-2.8695
BR,Brazil,2020-Q1,148.0718,-2.4819
BR,Brazil,2020-Q2,147.675,-1.9858
BR,Brazil,2020-Q3,147.5122,-1.4026
BR,Brazil,2020-Q4,147.5322,-0.8024
BR,Brazil,2021-Q1,147.7178,-0.2391
BR,Brazil,2021-Q2,148.1546,0.3248
BR,Brazil,2021-Q3,148.9883,1.0007
BR,Brazil,2021-Q4,150.4015,1.9449
BR,Brazil,2022-Q1,152.577,3.2895
BR,Brazil,2022-Q2,155.6947,5.0893
BR,Brazil,2022-Q3,159.8715,7.3047
BR,Brazil,2022-Q4,165.0876,9.7646
BR,Brazil,2023-Q1,171.1259,12.1571
BR,Brazil,2023-Q2,177.524,14.0206
BR,Brazil,2023-Q3,183.6651,14.883
BR,Brazil,2023-Q4,189.0439,14.5113
BR,Brazil,2024-Q1,193.4463,13.0433
BR,Brazil,2024-Q2,197.0151,10.9794
BR,Brazil,2024-Q3,200.147,8.9739
BR,Brazil,2024-Q4,203.3732,7.5799
BR,Brazil,2025-Q1,207.1104,7.0635
BR,Brazil,2025-Q2,211.5356,7.3702
BR,Brazil,2025-Q3,216.529,8.185
BR,Brazil,2025-Q4,221.8393,9.0799
BR,Brazil,2026-Q1,227.2867,9.7418
CA,Canada,2006-Q2,83.3991,11.9346
CA,Canada,2006-Q3,85.5504,12.9735
CA,Canada,2006-Q4,86.0523,12.1495
CA,Canada,2007-Q1,88.7773,11.4311
CA,Canada,2007-Q2,92.578,11.006
CA,Canada,2007-Q3,94.5142,10.4778
CA,Canada,2007-Q4,94.8727,10.25
CA,Canada,2008-Q1,96.2352,8.4006
CA,Canada,2008-Q2,96.9523,4.725
CA,Canada,2008-Q3,95.0161,0.5311
CA,Canada,2008-Q4,91.2872,-3.7793
CA,Canada,2009-Q1,88.4188,-8.1222
CA,Canada,2009-Q2,90.4984,-6.6568
CA,Canada,2009-Q3,93.5819,-1.5094
CA,Canada,2009-Q4,96.3069,5.4988
