region,region_slug,month,avg_price_gbp,hpi,yoy_pct
England,england,2016-08,218261,76.4,7.1
England,england,2016-09,217952,76.3,6.7
England,england,2016-10,217098,76.0,6.1
England,england,2016-11,218146,76.3,5.7
England,england,2016-12,218965,76.6,5.6
England,england,2017-01,218655,76.5,5.1
England,england,2017-02,219696,76.9,5.5
England,england,2017-03,218812,76.6,4.1
England,england,2017-04,221891,77.6,5.0
England,england,2017-05,223502,78.2,4.6
England,england,2017-06,225265,78.8,4.4
England,england,2017-07,227919,79.7,4.6
England,england,2017-08,229074,80.1,5.0
England,england,2017-09,228519,80.0,4.8
England,england,2017-10,228484,79.9,5.2
England,england,2017-11,227618,79.6,4.3
England,england,2017-12,228837,80.1,4.5
England,england,2018-01,227594,79.6,4.1
England,england,2018-02,228471,79.9,4.0
England,england,2018-03,226996,79.4,3.7
England,england,2018-04,228855,80.1,3.1
England,england,2018-05,229845,80.4,2.8
England,england,2018-06,231277,80.9,2.7
England,england,2018-07,234127,81.9,2.7
England,england,2018-08,234731,82.1,2.5
England,england,2018-09,234380,82.0,2.6
England,england,2018-10,233916,81.8,2.4
England,england,2018-11,233144,81.6,2.4
England,england,2018-12,232616,81.4,1.7
England,england,2019-01,230974,80.8,1.5
England,england,2019-02,230772,80.7,1.0
England,england,2019-03,229408,80.3,1.1
England,england,2019-04,230994,80.8,0.9
England,england,2019-05,231245,80.9,0.6
England,england,2019-06,232112,81.2,0.4
England,england,2019-07,234587,82.1,0.2
England,england,2019-08,235298,82.3,0.2
England,england,2019-09,235691,82.5,0.6
England,england,2019-10,234940,82.2,0.4
England,england,2019-11,234020,81.9,0.4
England,england,2019-12,234237,82.0,0.7
England,england,2020-01,234049,81.9,1.3
England,england,2020-02,232955,81.5,0.9
England,england,2020-03,235204,82.3,2.5
England,england,2020-04,232657,81.4,0.7
England,england,2020-05,233673,81.8,1.0
England,england,2020-06,236731,82.8,2.0
England,england,2020-07,239080,83.6,1.9
England,england,2020-08,241511,84.5,2.6
England,england,2020-09,243733,85.3,3.4
England,england,2020-10,245090,85.8,4.3
England,england,2020-11,247749,86.7,5.9
England,england,2020-12,250168,87.5,6.8
England,england,2021-01,249890,87.4,6.8
England,england,2021-02,251309,87.9,7.9
England,england,2021-03,254407,89.0,8.2
England,england,2021-04,250703,87.7,7.8
England,england,2021-05,251203,87.9,7.5
England,england,2021-06,266129,93.1,12.4
England,england,2021-07,250545,87.7,4.8
England,england,2021-08,259193,90.7,7.3
England,england,2021-09,268041,93.8,10.0
England,england,2021-10,259748,90.9,6.0
England,england,2021-11,265662,92.9,7.2
England,england,2021-12,267793,93.7,7.0
England,england,2022-01,270231,94.5,8.1
England,england,2022-02,271265,94.9,7.9
England,england,2022-03,272225,95.2,7.0
England,england,2022-04,274812,96.1,9.6
England,england,2022-05,278084,97.3,10.7
England,england,2022-06,281116,98.4,5.6
England,england,2022-07,286526,100.2,14.4
England,england,2022-08,289294,101.2,11.6
England,england,2022-09,290185,101.5,8.3
England,england,2022-10,289993,101.5,11.6
England,england,2022-11,290003,101.5,9.2
England,england,2022-12,288198,100.8,7.6
England,england,2023-01,285817,100.0,5.8
England,england,2023-02,283907,99.3,4.7
England,england,2023-03,279592,97.8,2.7
England,england,2023-04,280054,98.0,1.9
England,england,2023-05,279846,97.9,0.6
England,england,2023-06,281585,98.5,0.2
England,england,2023-07,284246,99.5,-0.8
England,england,2023-08,285690,100.0,-1.2
England,england,2023-09,284428,99.5,-2.0
England,england,2023-10,283147,99.1,-2.4
England,england,2023-11,281026,98.3,-3.1
England,england,2023-12,278664,97.5,-3.3
England,england,2024-01,278060,97.3,-2.7
England,england,2024-02,276935,96.9,-2.5
England,england,2024-03,276971,96.9,-0.9
England,england,2024-04,277945,97.2,-0.8
England,england,2024-05,280824,98.3,0.3
England,england,2024-06,281611,98.5,0.0
England,england,2024-07,284105,99.4,0.0
England,england,2024-08,287343,100.5,0.6
England,england,2024-09,287576,100.6,1.1
England,england,2024-10,287595,100.6,1.6
England,england,2024-11,286814,100.3,2.1
England,england,2024-12,287035,100.4,3.0
England,england,2025-01,287264,100.5,3.3
England,england,2025-02,287794,100.7,3.9
