market_id,market,state,size_rank,latest_value,latest_month
394913,"New York, NY",NY,1,735075.4727195766,2026-08-31
753899,"Los Angeles, CA",CA,2,952601.2481688592,2026-08-31
394463,"Chicago, IL",IL,3,357264.93540396687,2026-08-31
394514,"Dallas, TX",TX,4,360436.81730485073,2026-08-31
394692,"Houston, TX",TX,5,305001.4630414042,2026-08-31
395209,"Washington, DC",VA,6,573335.6629432053,2026-08-31
394974,"Philadelphia, PA",PA,7,389523.6104454603,2026-08-31
394856,"Miami, FL",FL,8,475829.62549971975,2026-08-31
394347,"Atlanta, GA",GA,9,377428.3976413579,2026-08-31
394404,"Boston, MA",MA,10,733574.1688299979,2026-08-31
394976,"Phoenix, AZ",AZ,11,442078.41997486586,2026-08-31
395057,"San Francisco, CA",CA,12,1123192.9916444786,2026-08-31
395025,"Riverside, CA",CA,13,581454.4224984803,2026-08-31
394532,"Detroit, MI",MI,14,267167.0405773277,2026-08-31
395078,"Seattle, WA",WA,15,727358.8756671211,2026-08-31
