neighborhood_id,market_id,neighborhood,city,county,size_rank,latest_value,latest_month,base_price_per_sqft
269381,394347,Midtown,Atlanta,Fulton County,564,351127.1569949323,2026-08-31,175.56357849746612
396602,394347,Candler-Mcafee,Decatur,Dekalb County,620,231322.8842645377,2026-08-31,115.66144213226885
130532,394347,North Druid Hills,Atlanta,Dekalb County,880,555887.4342445886,2026-08-31,277.9437171222943
6221,394347,North Decatur,Decatur,Dekalb County,942,496979.4810744783,2026-08-31,248.48974053723916
828957,394347,High Point,Sandy Springs,Fulton County,980,840863.2889404492,2026-08-31,420.4316444702246
269306,394347,Downtown,Atlanta,Fulton County,1116,242243.54231909703,2026-08-31,121.12177115954852
269397,394347,Old Fourth Ward,Atlanta,Fulton County,1167,389281.2704874005,2026-08-31,194.64063524370027
127117,394347,Belvedere Park,Decatur,Dekalb County,1286,244416.44889607627,2026-08-31,122.20822444803814
44978,394347,Druid Hills,Atlanta,Dekalb County,1492,856602.962833865,2026-08-31,428.30148141693246
269391,394347,North Buckhead,Atlanta,Fulton County,1552,667992.8785156977,2026-08-31,333.9964392578488
403405,394347,Pine Hills,Atlanta,Fulton County,1876,302844.0246825745,2026-08-31,151.42201234128726
40076,394347,North Springs,Sandy Springs,Fulton County,2098,479760.2498609333,2026-08-31,239.88012493046665
275424,394404,South Dorchester,Boston,Suffolk County,39,667603.3892498823,2026-08-31,333.80169462494115
54232,394404,Roxbury,Boston,Suffolk County,201,630189.3939715984,2026-08-31,315.0946969857992
154795,394404,Jamaica Plain,Boston,Suffolk County,214,793644.4894767179,2026-08-31,396.82224473835896
37575,394404,Brighton,Boston,Suffolk County,217,664012.0969307384,2026-08-31,332.0060484653692
154399,394404,East Boston,Boston,Suffolk County,246,654892.4713247725,2026-08-31,327.44623566238624
155633,394404,South Boston,Boston,Suffolk County,284,888266.616151411,2026-08-31,444.1333080757055
154775,394404,Hyde Park,Boston,Suffolk County,311,646356.1094619954,2026-08-31,323.1780547309977
155995,394404,West Roxbury,Boston,Suffolk County,395,789728.5325931049,2026-08-31,394.86426629655244
155506,394404,Roslindale,Boston,Suffolk County,418,721378.1638295533,2026-08-31,360.68908191477664
275429,394404,South End,Boston,Suffolk County,495,1080574.672045315,2026-08-31,540.2873360226574
154970,394404,Mattapan,Boston,Suffolk County,538,594939.8386085822,2026-08-31,297.46991930429107
274702,394404,North Dorchester,Boston,Suffolk County,543,659704.1489268997,2026-08-31,329.8520744634498
269589,394463,Lake View,Chicago,Cook County,42,466336.14142220863,2026-08-31,233.16807071110432
403169,394463,West Ridge,Chicago,Cook County,90,295387.13672710134,2026-08-31,147.69356836355067
403117,394463,Little Village,Chicago,Cook County,99,222651.22973743608,2026-08-31,111.32561486871803
269592,394463,Logan Square,Chicago,Cook County,101,555969.5720378164,2026-08-31,277.9847860189082
269590,394463,Lincoln Park,Chicago,Cook County,126,690732.0464030664,2026-08-31,345.3660232015332
403120,394463,South Austin,Chicago,Cook County,156,235484.4383992813,2026-08-31,117.74221919964064
269587,394463,Irving Park,Chicago,Cook County,169,474966.602065374,2026-08-31,237.48330103268702
269605,394463,Rogers Park,Chicago,Cook County,175,268512.3475222436,2026-08-31,134.2561737611218
269609,394463,Uptown,Chicago,Cook County,198,342069.1767337241,2026-08-31,171.03458836686204
269571,394463,Gresham,Chicago,Cook County,203,184611.57031828968,2026-08-31,92.30578515914485
275083,394463,Portage Park,Chicago,Cook County,207,422582.3252642584,2026-08-31,211.29116263212921
269607,394463,South Loop,Chicago,Cook County,227,340053.8066722124,2026-08-31,170.0269033361062
275467,394514,Southeast,Arlington,Tarrant County,46,310491.7712915539,2026-08-31,155.24588564577695
273527,394514,East,Arlington,Tarrant County,50,249746.1579164193,2026-08-31,124.87307895820965
275950,394514,West,Arlington,Tarrant County,63,316269.5433609286,2026-08-31,158.1347716804643
275492,394514,Southwest,Arlington,Tarrant County,195,350473.48913804046,2026-08-31,175.23674456902023
274680,394514,North,Arlington,Tarrant County,238,406685.1214040156,2026-08-31,203.3425607020078
812871,394514,Stonebridge Ranch,McKinney,Collin County,402,578820.4450996775,2026-08-31,289.41022254983875
764286,394514,Valley Ranch,Irving,Dallas County,413,518252.9846938599,2026-08-31,259.1264923469299
761975,394514,Northwest,Irving,Dallas County,428,344838.77121739724,2026-08-31,172.41938560869863
259317,394514,Cottonwood,Irving,Dallas County,511,501383.092400987,2026-08-31,250.6915462004935
761974,394514,Freeport/Hackberry,Irving,Dallas County,550,742169.7560691871,2026-08-31,371.08487803459354
273180,394514,Central,Arlington,Tarrant County,562,273643.02653783513,2026-08-31,136.82151326891756
812882,394514,Westridge,McKinney,Collin County,587,450236.7291644812,2026-08-31,225.11836458224062
270073,394532,Warrendale,Detroit,Wayne County,704,69547.8731663322,2026-08-31,34.7739365831661
806278,394532,Claytown,Detroit,Wayne County,798,82332.29578904109,2026-08-31,41.16614789452055
270064,394532,Southwest Detroit,Detroit,Wayne County,1103,96754.91464815573,2026-08-31,48.37745732407786
270065,394532,Springwells,Detroit,Wayne County,1245,84395.40348405381,2026-08-31,42.1977017420269
272839,394532,Bagley,Detroit,Wayne County,1524,158102.14740747857,2026-08-31,79.05107370373928
763800,394532,Eastborn,Dearborn,Wayne County,1615,230715.235541665,2026-08-31,115.35761777083249
270034,394532,Morningside,Detroit,Wayne County,1773,104733.21039396372,2026-08-31,52.36660519698186
269992,394532,Franklin Park,Detroit,Wayne County,1825,69438.42286623342,2026-08-31,34.71921143311671
269952,394532,Barton-McFarland,Detroit,Wayne County,1974,63109.46948432818,2026-08-31,31.55473474216409
270005,394532,Herman Gardens,Detroit,Wayne County,2036,81926.55102922431,2026-08-31,40.96327551461216
269961,394532,Brightmoor,Detroit,Wayne County,2163,48917.60698981275,2026-08-31,24.458803494906377
806191,394532,Bethune,Detroit,Wayne County,2199,65951.6715452377,2026-08-31,32.97583577261885
28380,394692,Alief,Houston,Harris County,31,209992.7181129156,2026-08-31,104.9963590564578
47651,394692,Sharpstown,Houston,Harris County,79,199032.66375119495,2026-08-31,99.51633187559747
403553,394692,Eldridge - West Oaks,Houston,Harris County,81,324758.05664209794,2026-08-31,162.37902832104896
271326,394692,Central Southwest,Houston,Harris County,88,212894.25163409908,2026-08-31,106.44712581704954
403542,394692,Kingwood,Houston,Harris County,103,333211.7933349856,2026-08-31,166.6058966674928
403558,394692,South Belt - Ellington,Houston,Harris County,104,247936.51496583596,2026-08-31,123.96825748291798
232166,394692,Clear Lake,Houston,Harris County,106,323992.35343194124,2026-08-31,161.99617671597062
